id,class
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
